ID	SRCID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	ANNOTATIONS	COMMENT
830	straight	straight	1404	STRAIGHT	ŋ is fronted before [i] / - / straight	
831	strainer	strainer			grille / strainer or filter of coconut fibre placed at middle of sago kneading trough; any porous cloth / strainer / coconut fibre mesh strainer / sieve made of fibrous sheet from coconut	
832	string-bag	string bag			string bag (generic) / personal string bag, string bag for personal effects / personal string bag / net-bag / net bag (woman's) / generic term for string bag / net bag, bilum (small) / string bag / contr. between rounded & unrounded / net bag, bilum / netbag, bilum / string bag (generic term) / woman's / large string bag for carrying food/supplies / string bag, bilum, normal bag for carrying produce / net bag / net (bag)	
833	strong	strong	785	STRONG	savage / strong / angry, strong	
834	stump	stump	241	TREE STUMP		
835	suckle	suckle	2472	SUCKLE (BREASTFEED, NURSE)	[K]	
836	sugar	sugar	862	SUGAR		
837	sugarcane	sugarcane	146	SUGAR CANE	sugar cane / sugarcane / sugarcane, granulated sugar / sugar cane, also used to indicate sugar / generic term for sugar cane / sugar cane (generic term); sugar / ? / -	
838	sun	sun	1343	SUN	sun, daylight; day, time / daylight, sun(light) / wennacg / sunshine / sun, day, time / day / w? / year; season / sunlight / ƀatava / *Moszkowski list / sun / sun; day; time / word used in conjunction with dryness and dearth; word used when it doesn't rain / moon / day and night, rain / year / sun, day / Daga - oam / +	
839	sunlight	sunlight				
840	surprised	surprised	1572	SURPRISED		
841	swamp	swamp	1145	SWAMP		
842	sweat	sweat	125	SWEAT (SUBSTANCE)	perspiration	
843	sweet	sweet	717	SWEET	also tasty	
844	sweet-potato	sweet potato	159	SWEET POTATO	maho yam / sweet potato / yam (dioscorea) / 'by̶a' / variety of sweet potato / stonefish, like Stonecat; Catfish-Eel types, catfish types; rhinocerus beetle; yam type / yam / sweet potato (generic term) / generic term for sweet potato / variety of sweet potato? / type of sweet potato / maho yam (Motu loan?) / a kind of yam	
845	swollen	swollen				
846	taboo	taboo				
847	tail	tail	1220	TAIL	(?) / of dog / of bird / crocodile's tail / sariyi / nari (fish) / dog's tail / (its) tail / tail and backmost part of fish / tail (of animal, bird, fish) / '(animal's) tail' / of animal / tail (his) / tail (bird) / tail (of dog) / - (of bird) / [K] of bird / bird's tail / of dog as well as snake / - (of dog_ / tail / (dog's) tail / tail (animal) / also 'lower back of pig (butchered with the tail)'	
848	talk-to-him	talk to him				
849	talk-to-me	talk to me				
850	talk-to-you	talk to you				
851	tall	tall	711	TALL		
852	tanket	tanket	2046	APRON		
853	taro	taro	351	TARO	garden / generic term for taro / taro (generic term) / taro (wild large) / taro sp. / top/bottom of taro / rounded sago cake roasted in fire and served without coconut / taro / variety of taro / taro / sago loaf ? / German taro / taro seeding / kuvara'wa / +	
854	tears	tears	1651	TEAR (OF EYE)	tear(s) / tears / tears, crying / swearing, cursing	
855	teeth	teeth	1380	TOOTH		
856	temporary	temporary				
857	ten	ten	1515	TEN	2+2+2+2+2 / all of us / 5+5 / hands both sides gone / 2 hands / 5 + 5 / ten / ?	
858	tendon	tendon	1137	TENDON		
859	termite	termite	883	TERMITE	[S]	
860	testicle	testicle	797	TESTICLES		
861	testicles	testicles	797	TESTICLES	breadfruit / testicle / testicles / [K] / scrotum / scrotum, testicles / scrotum; fleshy part of dry coconut / bread-fruit / scrotum, testicles, little boy	
862	that	that	78	THAT	that close by / (nearby) / emphatic. / indicating / - (aforementioned) / that far away / undishtinguisheable from 'this' / aforementioned / that over there / - (indicating) / (faraway) / (up) there / that further away / dem. noun / that one there / that / epi - girl / many many forms,+ inflected for person / near him / depends on what direction it is / unemphatic. / near you	
863	thatch-roof	thatch, roof	2100	THATCH OR ROOF	also 'house' / sago thatch / thatch	
864	that-distant	that (distant)				
865	their	their (pronoun p:3p)	2400	THEIR	gen.	
866	their-dual	their (pronoun p:3p, dual)			gen.	
867	theirs	theirs (pronoun p:3p)				
868	them	them (pronoun o:3p)				
869	them-dual	them (pronoun o:3p, dual)				
870	there	there	1937	THERE	there / distant / (distant)	
871	there-distant	there (distant)				
872	therefore	therefore				
873	there-lohap	there (lohap)				
874	these	these				
875	the-snake-sees-me	the snake sees me				
876	they-dual	they dual (pronoun d:3p, dual)			they (3du) / they (dl)	
877	they	they (pronoun d:3p)	817	THEY	they / they (pl) / they (3pl) / varies across functions	
878	thick	thick	1244	THICK	adj also 'fat' / big / thick	
879	thicket	thicket			thicket / thick bush / thick	Probably needed in Concepticon.
880	thigh	thigh	800	THIGH	thighs / see 'stem' and 'leg' / thighbone / thigh	
881	thin	thin	1400	THIN (SLIM)	thin / [S] shallow / small / [W] / 'shallow' / c.f. seska=di 'lean'	
882	thing	thing	738	THING		
883	thirteen	thirteen	1708	THIRTEEN		
884	this	this	1214	THIS	many many forms,+ inflected for person / dem. noun / this here / undishtinguisheable from 'that' / close / this / further / epi- girl / -	
885	this-close	this (close)				
886	this-further	this (further)				
887	this-lohap	this (lohap)				
888	thorn	thorn	124	THORN		
889	thou	thou	1215	THOU	masc. / singular / thou / fem. / you (sg.) / -	
890	thought	thought	2975	THOUGHT		
891	thousand	thousand	1843	THOUSAND	one thousand / < AN	
892	three	three	492	THREE	kaapmu / three (or third?) / three / two and another / third / three things / three/one	
893	three-days-ago-or-hence	three days ago or hence	2333	THREE DAYS BEFORE NOW	three days ago / three days from now / two days ago	
894	throat	throat	1346	THROAT	liver / emotional and evaluating 'heart' (perceptually located at base of throat) / - (external) / internal / neck, throat; feelings, seat of emotions / thought processes, thoughts, reasoning / throat / neck (all or nape) / neck / note diacritic under [f], not sure what that is supposed to be / his neck / (his) neck (all or nape) / external	
895	thumb	thumb	1781	THUMB	'big finger' / also 'big toe' / kal'amɔwo / Daga - nanineiwa / thumb / ? / big toe? / +	
896	thunder	thunder	1150	THUNDER	give a thunderclap, thunder / thunder overhead / also means 'lightning' / to shine brightly without a cloud in the sky / thunder / +	
897	tight-hard	tight, hard				Hypernym missing in Concepticon.
898	tinea	tinea	3173	TINEA		
899	tobacco	tobacco	974	TOBACCO	+	
900	bake	to bake	183	BAKE		
901	to-bathe	to bathe	138	BATHE		
902	to-be	to be	1579	BE	also stay / 'be, stay 1' / 'be stay 2' / +	
903	to-beat	to beat	1665	BEAT		
904	to-be-born	to be born	1090	BE BORN		
905	to-be-hungry	to be hungry	1533	BE HUNGRY	famine / - / to be hungry / hungry / he is hungry	
906	to-be-sick	to be sick	1847	SICK	I am sick / sickness / sick / sickness, poison? / get sick (lit: 'find poison/sorcery') / - / to have a cold	
907	to-be-thirsty	to be thirsty	847	THIRSTY	[W]	
908	to-be-tired	to be tired	1757	TIRED		
909	to-bite	to bite	1403	BITE	bite / [tav] underlined / bite, sting / [rav] underlined / 3SgmO-bite-3SgmO / [sɨwa] underlined / bite (bit me) / he bites (a dog) / kᵊgamaʔhai / [da'] underlined / he bit / to bite / (he) bites it / [W] / to bite down on a hard object / he bites (of dog) / Daga - aren / (AN loan) also 'betel nut' / - / afa (?) / [iko] underlined / [to] underlined / rage, furious; short-winded / he bit me / bite, gnaw / let us bite / luf ikat kʌlɩgʌ / v?, [kubim/kuɤim] or similar added above / he bites / bit me / I bit / pain it strikes him / bite me / he bit it	
910	to-blow	to blow	175	BLOW (OF WIND)	blow out through mouth; heal by blowing and spitting cures on person / celebration, with blowing of conch shell (lit: 'dancing blowing') / blow (with mouth) / blow with the mouth (AN loan) / (he) blows / blow-3SgmO / to blow, puff, to get to shore / blow (fire) / when the wind whistles; to blow with the mouth / blow / I blew fire / blow on fire (to stir up) / blow (wind) / blow away, of wind / he blew / medicine / blow fire / blow (musical instrument, fire) / blow (a fire)	
911	to-boil	to boil	792	BOIL (OF LIQUID)	to cook / cook / cook by boiling / to evaporate, dry up (intrans.) / boil / boil (cook)	
912	to-break	to break	680	BREAK (DESTROY OR GET DESTROYED)	rope / to break, smash / break / (stone) / to break stone / '(rope) breaks' / break (stick) / 'to break wood' / (rope) / '(stone) break' / 'to break stone' / [W] / to break / 'to break (rope)' / split / + / '(stone) breaks' / break, fold / [P] / smash / break (trans.) / to shatter, crack apart (intrans.); to break (trans.) / 'to break rope' / break (stick, pot) / [S] break rope / '(rope) break' / [A] break rope / stone, intransitive	
913	to-break-wood	to break wood				
914	to-breathe	to breathe	1407	BREATHE	said to be borrowed from Gela / breath / (its) breath / breathe	
915	to-bring	to bring	692	BRING	[W] / [S] / bring	
916	to-burn	to burn	2102	BURN	fire / light (ignite) / hᵊǥᵊitḷobai / tr or itr? / burn, set alight, cook (by burning) / Vcls 3 'burn secondary growth in garden preparation' / [ta'a] underlined / to be hot / fire to burn; fire to be ignited; food to be cooked / burn (intr.) / 'let us burn' / (stg) burns / let us burn / burn (stg) / burn / [s] underlined / cooked / be cooked through until done / Vcls 1 / cook / (it) burns / burn, cook until ready to eat / a[na]andapyɨ [ ] underlined / [zɨsa] underlined / - / burn me / also 'light fire' / [yɨd] underlined / it is burning / embers of a fire / hᵊǥᵊiḷḷobai / (fire) burns up, be on fire / mutsi / it burns / to burn/be burning / (int.) / it burns (fire is burning) / 3SgmO-burn / burning / fire, burning stick or log / it burned / burn (me) / fire, firebrand (lit: 'burning-wood/tree')	
917	to-bury	to bury	1719	BURY		
918	to-buy-sell-barter	to buy, sell, barter			Austronesian / buy-3SgmO / Vcls 1 also 'pay' / [=barter] / buy, sell, barter / [=buy] / Austronesian loanword / buy / Vcls 3 also 'pay / +	
919	call	to call	1084	CALL		
920	to-call-out	to call out			call out / -	
921	to-carry	to carry	700	CARRY	I carried on my shoulder / bear (a load); shoulder, carry on shoulder / carry on shoulder / carry / to carry on shoulder / -	
922	to-cast-net	to cast net			cast a net for fish or birds / fishing / to throw out fishnets surrounding fish or set them up straight to catch fish / to fish with net / throw / net for netting fish or birds / throw away	
923	to-catch	to catch	702	CATCH	= embrace / I catch / takes, gets / catch / he catches / he takes, gets	
924	to-chase	to chase	1435	HUNT		
925	to-chew	to chew	321	CHEW	to crack with teeth, to chew betel nut, to munch / chew betel nut / chew noisily, crunch / to chew betelnut / a group's local cuisine / chew / chew and swallow juice, as of sugar cane	
926	to-choose	to choose	1750	CHOOSE	choose-3SgmO / Austronesian loanword / to choose/elect / Vcls 1 also 'take aim' / Vcls 1 also 'sort'	
927	to-chop	to chop, cut down	155	CHOP	fell / chop (wood) / chop wood / cut down with axe / also 'cut' / +	
928	to-clear-bush-for-planting	to clear bush for planting			he weeds / shave, remove hair / weed, clear / clear grass and/or weeds away	
929	to-climb	to climb	1102	CLIMB	to ascend / go up / go up, ascend / to climb a tree / ascend, go up / Vcl 2, also rise etc	
930	to-close	to close	1046	SHUT	deaf / block, close / to close; to stop / close	
931	to-come	to come	1446	COME	(fr. W.) / (fr. E) / from seaward / he came / [S] / Vcls 2 / come (long distance) / (fr. E. or W.) / come (short distance) / to come down / [sa] underlined / to come out / (he) comes / marked with ! and (2s) / [Y] / imperative / from coast / come! / approach, arrive; emerge, come out / he comes / going and coming / Vcls 3 / + / marked with ! and (2s), probably imperative / Daga - onep / (fr. W) / come quick / [pɨ] underlined / from east or west / or simply 'nʌhʌi' / [p] underlined / ? / arrive, approach; emerge, come out / come, be in motion / to come / (fr. E.) / from east / to come up / from west / come out / come ! / from inland / imperative 'come!' / come!  / come / [pa] underlined / [mpi] underlined	
932	to-cook	to cook	1100	COOK (SOMETHING)	cooked / boil, steam / cook (in ground on hot stones), mumu / cook in ground, mumu / Vcls 2, make 'mumu', cook in stones (iouna=cooking stones) / 'make cooked < adj. 'cooked' / cook on hot stones / roast / make a mumu / boil	
933	to-cough	to cough	879	COUGH	he coughs / [Y] / - / cough	
934	to-count	to count	1420	COUNT	he counted / Vcls 1 / (he) counts / count	
935	to-cross	to cross	1367	CROSS		
936	to-crush	to crush	1520	CRUSH		
937	to-cry	to cry	1839	CRY	to cry hard / cry (pl subj) / tears / (Bili Bili) expresses deep distress / cry / (he) cries / weep / Vcls 2 / tear(s) / - / cry (sg subj) / cry, wail / I cried / cry, weep / he cried / cry!	
938	to-cut	to cut	1432	CUT	cut (wood) / to cut with an axe / cut (rope) / cut, cut off / cut.in.small.pieces-3SgmO / cut (wood), chop / to cut across horizontally (of grass, hair, et al.) / to scratch lines, to cut down / Vcls 2a 'cut, chop, fell' / cut.bamboo-3SgmO / cut, break (stick) / cut.banana.leaves-3SgmO / (he) cuts / Vcls 1 'cut, chop with knife' / dʌtŋⁱʌk - break / butcher; segment tree trunk / cut off, slice through / cut, chop / to cut sugarcane / cut-3SgmO (tree, with sharp object) / + / cut it! / to cut off / to cut / cut hair, shave / to tie / he cut it / cut-3SgmO / cut (grass), slice / cut.rope-3SgmO / cut.into.slices-3SgmO / cut nut / cut / cut-3SgmO (also for operations) / cut logs or bamboo / cut/tie / cut.in.two-3SgmO / to cut hair, to be torn / to cut wood vertically into chunks; to cut path through / cut (string)	
939	to-cut-down	to cut down	355	CUT DOWN		
940	to-cut-through	to cut through				
941	to-dance	to dance	1879	DANCE	song; play / singsing / song; dance, singsing / 1/2 / danced (v) / dance / ilituv li / song, hymn, dance / happy / sing / song / he dances / fish jump / a dance / dance (n)	
942	today	today	1283	TODAY	today	
943	to-defecate	to defecate	676	SHIT (DEFECATE)		
944	to-die	to die	1494	DIE	[mpal] underlined / he died / murder, kill / [bai underlined / [pe] underlined / die, be sick / dead, die / dies / Vcls 2 / to be sick, to be dead, a dead person / sick / died (3s) / [po] underlined / also 'fire goes out' / died / to die, fall down dead; to be exhausted, worn out / he kills / dead, to die / die / to be wet, to die, a dead person / to die, dead / die, sick / + / mash, pulp, crush, smash, soften / dead / wither (root ap- for present tense) / [pe'n] underlined / die, dead / died (3) / to die (of humans and animals) / die (of plant, i.e. wither) / soften; decompose (of wet things with internal moisture); mash / o at enc? / fᵊgi / '(fire) goes out' / soft, mushy (of food) / corpse / kill pig / (he) dies / he dies	
945	to-dig	to dig	1418	DIG	dig-3SgmO / (he) digs / dig out, harvest (yams) / dig / dig up' (expected form karovanu) / to dig up / castrate / Vcls 1 (AN loan (?)) / to dig out (a tree, etc. but not ditch) / dig out / dig (hole) / - / he dug it	
946	to-do-make	to do, make	813	DO	make (magic) / do, make / +	
947	to-draw-water	to draw water	1911	DRAW (WATER)		
948	to-dream	to dream	1920	DREAM (SOMETHING)	[N] / to dream / my dream / [V] / I dreamt last night / dream / I dreamt / Vcls 3 / +	
949	to-drill	to drill	1501	BORE	make a small hole in / drill	
950	to-drink	to drink	1401	DRINK	marked with ! and (2s) / drink/eat / drink / marked with ! and (2s), probably imperative / he drinks / suck / he eats / [na] underlined / [?] / drink! / drink! (2s) / Vcls 3	
951	to-drip	to drip	808	DRIP (FALL IN GLOBULES)		
952	to-dry	to dry	1786	DRY UP	in the sun / (clothing)	
953	toe	toe	1389	TOE		
954	to-eat	to eat	1336	EAT	eat / (he) eats / Vcls 2 / to eat, bite, graze / he ate / he is eating / 3SgmO-eat / marked with ! and (2s) / eat, drink, smoke (tobacco) / Vcls 1 / eat, drink, consume / [W] / generic term for food / they ate / + / I ate it / marked with ! and (2s), probably imperative / polite form / [na] underlined / eat! / Daga - naiwan / eat, drink / drink/eat / drink / he eats / food / to have a meal	
955	to-eat-drink	to eat, drink			eat, drink, smoke (tobacco) / eat / eat, drink	Hypernym missing in Concepticon.
956	toenail	toenail	2662	TOENAIL		
957	to-enter	to enter	749	ENTER	enter, go inside / go in / fall into a hole / enter / enter a hole	
958	to-fall	to fall	1280	FALL	of tree / Vcls 1 / he fell / fall down / I fell (from standing) / fall (from height) / he lies down (reclines) / to fall off or down / from height / fall / Vcls 2 / fall down (people or things) / I fell (from height) / sᵊǥahunai / a fall / from standing / to fall, lie down, dig, plough / he falls down / (he) falls	
959	to-fall-from-standing	to fall (from standing)				
960	to-fart	to fart	1159	FART		
961	to-fasten	to fasten	1094	FASTEN	-	
962	to-fear	to fear	1419	FEAR (BE AFRAID)	be afraid / fear-3SgmO / Vcls 2 / noun / afraid / afraid, fear / fear / to be afraid / scared	
963	fell-tree	to fell tree	463	FELL (A TREE)	cut tree / with singular object / with plural object	
964	fetch	to fetch			[W]	
965	to-fight	to fight	1423	FIGHT	to fight / anger, fights / angry / squabbling, children's fight / war, battle / quarrel and fight / quarrel, fight / fight / +	
966	to-fill	to fill	2006	FILL	+ with liquid / +	
967	to-find	to find	719	FIND	find, meet, encounter / meet / meet, encounter, find / find / to meet, encounter; to find by chance / also 'to see' / he finds / to meet, catch up to	
968	to-finish	to finish	1766	FINISH		
969	to-fish	to fish	2638	FISHING		
970	to-float	to float	1574	FLOAT		
971	to-flow	to flow	2003	FLOW	to flow very strongly (white caps in river) / flow / Vcls 2 / see 'go'	
972	to-fly	to fly	1441	FLY (MOVE THROUGH AIR)	fly / 'bird flies off' / hᵊǥoginauʔbai / flies / [pɨlaku] underlined / Vcls 3 / fly (verb) / [K] / [pwana] underlined / flying / - / [wɨw] underlined	
973	to-fold	to fold	1470	FOLD	fold / I fold back, I push back / fold up / to fold up, bend double, serve out in portions	
974	to-freeze	to freeze	1431	FREEZE		
975	gather	to gather	7	GATHER		
976	to-get	to get	694	GET	get (sg obj) / get, take / imperative / take / get (and come), take	
977	get-up	to get up	1512	RISE (ONESELF)		
978	to-give	to give	1447	GIVE	[taap] underlined / I give him / he gives to him / give (me)! / [K] / give to me / give (me) ! / 'give me' / give / give (to me) / give (me) / give me / + / he gives / [aap] underlined / give (him) / (pl) / to me / marked with ! and (2s), probably imperative / he gives me / i give him / [jaa] underlined / to you / [aamp] underlined / [taapa] underlined / to first person / he gave me / [inya] underlined / ka ǥuřaŋʷa / marked with ** / to him / [taa] underlined / (sg) / give me! / [sap] underlined / also in **om ɛdɛx- suckle / (he) gives me	
979	to-give-an-order	to give an order				
980	give-birth	to give birth	1195	GIVE BIRTH	[K]	
981	to-go	to go	695	GO	I am going / 'go/walk' in original doc / I a mgoing / go / i am going / -	
982	to-go-down	to go down	2014	GO DOWN (DESCEND)		
983	to-go-home	to go home	142	RETURN HOME		
984	to-go-outside	to go outside	1107	GO OUT		
985	to-go-up	to go up	705	GO UP (ASCEND)		
986	grab	to grab	855	SEIZE		
987	to-grow	to grow	479	GROW	big / to grow up / grow / big, large, fat / swell / fat person / (AN: Nochi chik chikchik) / important man / boss, ruler, lord, master / grow (instrans.)	
988	to-hang	to hang	357	HANG UP		
989	to-hear	to hear	1408	HEAR	I heard / he hears / hear-3SgmO / ɔmei / Vcls 2 / [paa'n] underlined / question / [sa] underlined / imperative 'hear!' / hear, understand / deaf / [gatau] underlined / [aa] in 'aadengɨ' underlined / hear, listen, feel / 'I heard' / [wɨ'n] underlined / he is listening / hear! / hear, see / to hear, understand; to obey / listen! / [iq] underlined / + / me - 'he' / understand, hear / to hear, listen / hear / listen / hear (sg obj) / hear, listen, know, feel / hear, obey / to hear; to listen / understand (language) / [y] underlined / hear, listen; obey / imperative	
990	to-hide	to hide	2486	HIDE	V cls 1 'pull back to hide' / hide it / Vcls 3	
991	to-hit	to hit	1433	HIT	to hit / Vcls 1, beat with stick / Vcls 1, hit with stick, also 'cut firewood' / hit (with stick or hand) / he hits him / (he) hit him / 3SgmO-hit / me / hit / he hits / him / man killer / hit (stick) / hit, pound, beat, kill / he hit it / hit, kill / hit, contact another entity forcefully / the man did not hit the dog / to hit, fight; to kill / you / hit, help, shoot / he hit / he hit me / wailing (lit: 'hitting crying')	
992	to-hold	to hold	1448	HOLD	poison / touch / hold (in hand) / (?) / hold, touch / Vcls 2a / hold, grasp, touch; pull; name / (he) holds / to hold; to weave, plait / 3SgmO-hold / sorcerer, magician, shaman (lit: 'poison holding much doing-one') / hold / hold, grab / to hold, handle, work at, anoint, take captive, strike a match, pull / hold pig's head / +	
993	to-hunt	to hunt	1435	HUNT	Vcls 1 'hunt with dogs' / hunt / to take prey (both hunting and fishing)	
994	to-hurt	to hurt	2411	HURT (SOMEBODY)		
995	to-husk	to husk				
996	to-join	to join	1743	JOIN		
997	to-joke	to joke	2760	MAKE A JOKE	joke / mock, make fun of	
998	to-jump	to jump	1829	JUMP	- jump over / jump down / to run	
999	to-kill	to kill	1417	KILL	[tiwa] underlined / with singular object / 3SgmO-kill-3SgmO / to murder / [pas] underlined / man or animal / [K] / [tam] underlined / marked with ! and (2s) / related to animal / refers to animal / man and animal / he kills / Vcls 2a, 'to go at, injure' / [vansa] underlined, first [ha] underlined / he strikes him..dies / + / [ramas] underlined / bᵊǥiʔnafgi / (go kill), marked with ! and (2s), probably imperative / with plural object / kill me / [naav] underlined / kills / I killed / kill / kill! / referring to animal / kill ! (2s)	
1000	to-know	to know	1410	KNOW (SOMETHING)	knows / 3SgmO-know / (he) knows / he knows / Vcls 2 / [yawɨ'] underlined / be knowledgable about-3SgmO / know / [mmona] underlined / I know / he has heard / he knew	
1001	to-laugh	to laugh	1355	LAUGH	Vcls 1 / (he) laughs / laugh / noun / ki ni·ntai - joke / he laughs / to laugh hard / -	
1002	lay	to lay	2071	LAY (VERB)		
1003	to-lie-down	to lie down	215	LIE DOWN	lie (recline) / sleep, lie down / I lay on the ground / sleep, lie on ground / lie down ! / lie down! / lie down, recline, be lying / marked with !  / [wi] underlined / [wa] underlined / lie on ground / plural / Daga - aupin / he lies down / to recline, lie down / [vɨya] underlined, [we] underlined / also 'to sleep' / I lie down / lie face up / singular / [no] underlined / lie on stomach / [oe] underlined / to lie on one's back / lie down / sleep / lie / v?	
1004	to-lie-on-ground	to lie on ground	1411	LIE (REST)		
1005	to-live	to live	2309	LIVE	alive / life / Vcls 2, also 'be conscious' / aua|iri (Life)	
1006	to-look	to look	1819	LOOK	look for / marked with ! and (2s) / -	
1007	to-look-for	to look for	1468	LOOK FOR		
1008	to-lose	to lose	1660	LOSE		
1009	love	to love	923	LOVE		
1010	to-lunge	to lunge				
1011	to-make-bow	to make bow				
1012	to-make-thatch	to make thatch				
1013	tomorrow	tomorrow	1329	TOMORROW	yesterday/tomorrow / tomorrow / same word as yesterday / yesterday, tomorrow / the man will go tomorrow / +	
1014	tomorrow-morning	tomorrow morning				
1015	mow	to mow	190	MOW		
1016	tongs	tongs	272	TONGS		
1017	tongue	tongue	1205	TONGUE	point, tip / tongue (my) / ashes (black) / tongue / his tongue / ? / torɛ / (its) tongue / flame / ul-gɛmɛn / [K] / my tongue / +	
1018	to-not-know	to not know			not know	
1019	to-open	to open	1156	OPEN	open (door, window) / Vcls 1 / open-3SgmO (i.e. unfold e.g. hand, book) / uncover-3gmO / 3SgmO-take be open (causative construction meaning to open, e.g. mouth) / open (stg) / open-3SgmO (e.g. door)	
1020	tooth	tooth	1380	TOOTH	teeth / same as 'mouth' / tooth (his) / his tooth / my tooth / tooth (ache) / *Moszkowski list / (its) tooth / tooth (my) / (aɣigi) / (Acɨ dialect) / Daga - donewa / tooth / mouth / +	
1021	top	top	1753	TOP	also bottom of taro / on top of house / on top of / hill / top (of tree) / on top (of house) / above / top / on top	
1022	to-pain	to pain	2561	HURT (SENSE PAIN)	pain (to have) / pain / 'to have pain'	
1023	to-pant	to pant			baby to cry at birth / sigh / pant, breathe / to sniff, sniffle, snivel / pant / respirate, breathe heavily, heave / breathe	
1024	to-peel	to peel	275	PEEL		
1025	topic	topic				
1026	to-pick	to pick	2148	PICK		
1027	pinch	to pinch	378	PINCH		
1028	to-plait	to plait	1729	PLAIT OR BRAID OR WEAVE		
1029	to-plant	to plant	1486	PLANT (SOMETHING)	plant-3SgmO / plant / plant (new garden) / Vcls 1 'plant a new garden' / Vcls 2a / in holes / +	
1030	to-play	to play	1413	PLAY	'to play drum' / (they) play	
1031	top-foot	top (of foot)			top (of foot)	
1032	to-pound	to pound	354	POUND	Vcls 1 hit, pound with stone or stick / beat-3SgmO / to pound sago / pound sago / Vcls 2a 'pound to open shell'	
1033	to-pour-out	to pour out	1487	POUR	pour out (water) / pour out / +	
1034	to-pull	to pull	1455	PULL	to pull, drag, troll for fish / drag / pull, hoist up / I pulled / pull! / pull / (he) pulls / pull, drag / to draw or pull / fork out food, take out money, fetch / +	
1035	to-push	to push	1452	PUSH	(he) pushes / push / -	
1036	to-put	to put down			put down	
1037	to-put-give	to put, give			give, send / I put down (on the ground) / he gave it to me / put (down), position, place / give him / put it down! / I put down (on ground) / give / to sow seed / he gives it to me / put / put, place, station securely / to put into position, put down / to give; to send (inaminate objects such as letters) / place, put / +	
1038	to-rain	to rain	1253	RAIN (RAINING)	rain, thunderstorm / heavy rain / rain / cloud	
1039	torch	torch	1919	TORCH	lamp, torch / torch made from the leaves of a coconut frond / torch made from coconut leaves	
1040	to-return	to return	581	COME BACK	return (lit. turn around [and come]) / return	
1041	revenge	to revenge	495	REVENGE		
1042	tortoise	tortoise	895	TORTOISE		
1043	to-rub	to rub	1449	RUB		
1044	to-run	to run	1519	RUN	to go, depart, take off, travel / I ran / run! / he runs / come quick / run away / run / speed / -	
1045	to-say	to say	1458	SAY	I say / speak / say, speak / to speak / to say, speak / say, tell, call (name) / (he) says / say / command / say  / speech / he said / [W] / myth / [?] / song / also ask / he says	
1046	to-scrape-off	to scrape off	1767	SCRAPE	scrape off / plane, scrape off	
1047	to-scratch	to scratch	1436	SCRATCH	he scratched / Vcls 1 / in the ground / scratch an itch / scratch (an itch) / scratch (skin) / scratch / scratch out ground	
1048	to-see	to see	1409	SEE	[kwan] underlined / see, perceive / Daga - yaviwan / he sees / see, understand, perceive / perception / [kaan] underlined / you saw us / Vcls 1 / Vcls 3 / + / he knows / [kwon] underlined / I saw / I see / see! / (he) sees me / [wanga] underlined / 3SgmO-see / to see, perceive; to understand / see / he saw me / see, look / [nsa] underlined / see, find / [hwan] underlined / sight	
1049	seek	to seek				Same as LOOK FOR?
1050	to-sew	to sew	1457	SEW	pierce / (she) sews / spear / to sew, thread beads, walk in file / sew, spear, scratch / to twine around (of a snake or creeper) / sew-3SgmO / sewing a string bag, drawing on tapa cloth / weave, sew, write / hunting/fishing life (gae 'spear' and nãdi 'grab') / write, draw; sew, stitch a running stitch, weave; pole a canoe forward; fold arms across one's chest / sew, thread, string together / pencil / she sewed it / sew / to lance wound; to sew up rip with string, etc.; to string fish on line or cane pole / spear, scratch, write, prick, pierce, pound with pestle / to make a running stitch; to pole a canoe; to weave net, thatch roofing onto roof; to write, draw / sew (e.g. for making bilums) / spear, pierce the flesh, pin, machine-sew / sew, weave / sew, write, poke, scratch, spear (anything done with sharp implement) / also 'needle'; < *suÊ€i 'bone' / shoot / (AN loan) / sew up / writing	
1051	to-shake	to shake	1909	SHAKE		
1052	to-sharpen	to sharpen	251	SHARPEN (SOMETHING)	sharp / +	
1053	shiver	to shiver	52	SHIVER		
1054	to-shoot	to shoot	1172	SHOOT	shoot-3SgmO (e.g. stone) / he shot it / (he) shoots / shoot or stab with spear etc. / shoot with spear / - / shoot with weapon 3SgmO (e.g. sling, bow, gun) / to shoot/grow	
1055	to-sing	to sing	1261	SING	singsing (v.) / sing, call	
1056	to-sit	to sit	1416	SIT	pres. progressive used for all verbs / [mpinta] underlined / Daga - aiwaiʼnge / I sat down / Vcls 2 / he is sitting / he sits down / mowal / sit down! / marked with ! and (2s) / marked with !, probably imperative / [humaa] underlined / [mwaaly] underlined / [pɨm] underlined / sit, be seated / (he) sits / sit down / I sit / to sit / + / move in a sitting (sic) / (sg.) / sit in a group / to sit down / sit, rest (two) / sit / sit (pl.) / [qm] and [aa] underlined / he sits / (pl.) / chair, seat / marked with ! and (2s)  / chair / v?	
1057	to-sleep	to sleep	1585	SLEEP	child-directed / he sleeps / We two will sleep / marked with ! and (2s) / [wi] underlined / marked with !, probably imperative / [piyaw] underlined / [wa] underlined / to sleep / [vɨya] underlined, [we] underlined / take a nap / I sleep / + / I slept / (he) sleeps / having slept / [no] underlined / he is sleeping / [oe] underlined / also 'lie down' / we two will sleep / *Moszkowski list / sleep / [war] underlined / he slept	
